t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
33153630,10000,10,2,0.468,-1.785,2.721,1.954,33.15363,1.002,0.106
33253630,10000,10,0.417,-1.197,1.162,1.719,2.06,33.25363,0.124,0.066
33353630,10000,10,1.279,-0.523,-1.219,1.843,2.126,33.35363,0.191,0.386
33453630,10000,10,1.82,0.656,-0.628,2.034,2.512,33.45363,0.212,0.628
33553630,10000,10,0.229,-1.467,1.685,2.246,1.884,33.55363,0.344,0.041
33653630,10000,10,1.979,1.208,-1.154,2.59,1.843,33.65363,0.247,0.55
33753630,10000,10,0.222,-2,2,2.837,2.393,33.75363,0.397,0.529
33853630,10000,10,1.81,0.449,-1.573,2.44,1.864,33.85363,1.048,0.182
33953630,10000,10,0.524,-0.916,0.908,1.392,2.046,33.95363,0.561,0.256
34053630,10000,10,0.824,-0.152,-1.765,1.953,1.79,34.05363,0.119,0.625
34153630,10000,10,1.967,0.638,0.129,2.072,2.415,34.15363,0.854,0.389
34253630,10000,10,-0.346,-0.478,1.066,1.218,2.026,34.25363,1.234,0.115
34353630,10000,10,2,1.413,-0.121,2.452,1.911,34.35363,0.269,0.169
34453630,10000,10,-1.039,-1.525,2,2.721,2.08,34.45363,0.244,0.538
34553630,10000,10,2,1.423,0.333,2.477,1.542,34.55363,1.804,0.324
34653630,10000,10,0.174,-0.573,0.307,0.673,1.866,34.65363,0.493,0.079
34753630,10000,10,0.959,-0.344,0.567,1.166,1.945,34.75363,1.149,0.302
34853630,10000,10,2,1.157,-0.147,2.315,2.247,34.85363,0.144,0.433
34953630,10000,10,-1.248,-2,0.699,2.459,1.814,34.95363,0.456,0.4
35053630,10000,10,2,2,0.705,2.915,2.214,35.05363,1.761,0.249
35153630,10000,10,-0.559,-0.282,-0.969,1.154,1.965,35.15363,1.088,0.282
35253630,10000,10,1.508,0.458,1.595,2.242,2.247,35.25363,0.255,0.229
35353630,10000,10,0.771,1.093,-1.469,1.987,2.476,35.35363,0.35,0.486
35453630,10000,10,0.652,0.5,1.415,1.637,1.99,35.45363,1.637,1.99
